gene_names	IPF_male_61_SRR21498165	IPF_male_57_SRR21498185	IPF_male_67_SRR21498200	IPF_male_62_SRR21498205	IPF_male_65_SRR21498230	IPF_male_70_SRR21498265	IPF_female_64_SRR21498280	IPF_male_43_SRR21498285	IPF_male_54_SRR21498295	IPF_female_70_SRR21498340	IPF_male_61_SRR21498365	IPF_female_56_SRR21498375	IPF_female_59_SRR21498421	IPF_female_71_SRR21498538	IPF_male_63_SRR21498628	IPF_male_73_SRR21498633	IPF_female_66_SRR21498643	IPF_female_61_SRR21498668	IPF_male_69_SRR21498748	IPF_male_59_SRR21498828	NDC_male_65_SRR21498140	NDC_male_42_SRR21498150	NDC_male_61_SRR21498180	NDC_male_28_SRR21498190	NDC_female_35_SRR21498195	NDC_male_41_SRR21498225	NDC_male_45_SRR21498320	NDC_female_67_SRR21498385	NDC_female_61_SRR21498400	NDC_female_44_SRR21498523	NDC_female_28_SRR21498578	NDC_female_60_SRR21498623	NDC_male_39_SRR21498663	NDC_male_69_SRR21498728
ENSG00000187583	PLEKHN1	2.55555087670227	2.37627420853732	1.6023164941881	0.405945838093391	2.22066057288566	2.11198350459343	1.21964282673692	1.42307000775347	1.80884519171302	1.70292245825876	-0.981647811635554	2.89789800211592	1.6933448259397	1.49883814580858	1.73990599738273	0.607395079657302	-0.155680008224746	1.8039619309184	1.55534199744567	1.88196492222251	0.292519819948016	1.07729356747551	1.62052683921423	-0.395534274914848	-0.213698210253529	1.17091975650465	0.0338258256041577	0.923437729860154	1.47594576216653	-0.825741198229281	2.00454009609008	0.195612438881675	0.44241034092919	-1.04882460239676
ENSG00000272512	RP11-54O7.17	1.28411228932146	3.89075635456217	2.61043415019019	0.180397139648512	-1.65952340648326	2.29729459336429	-0.184304910295523	0.695249240507017	2.23125408971948	0.784928687574926	1.33794918978959	1.65017660780083	2.79370523097987	1.25930738420381	2.83781780160029	1.73284843418028	0.376547563326135	2.34346467868026	-1.4613273939974	1.63564113729416	2.41801820829819	1.06836176565649	-1.81279814853302	1.19652390684986	1.78417368826206	0.93749541605855	1.38721039524954	2.06352112359341	1.92531176330526	1.445642421962	-0.168462711726949	-0.745989652948253	1.96487045567033	1.31689096340629
ENSG00000188290	HES4	5.11670558902653	5.68392083836519	5.73262782079924	5.21082522862936	5.67482540935153	4.7735394139676	4.28132168897535	4.67217615070483	4.30654912228734	5.72505662566091	4.49435150383453	5.97794535633785	5.34515639128095	5.24679072139431	5.30574230838442	4.38808757443125	5.57044095278535	4.54060212331342	5.05760128825169	5.14853792956755	5.37934723392221	4.53704347915232	4.53928787748913	5.55151029864708	4.98253157736706	5.40459393259789	5.71376423570771	4.2768854691289	4.446007913523	4.06630221110933	4.76310528220068	4.19132763860275	5.13473587751059	4.24477325094398
ENSG00000187608	ISG15	5.5868389358351	5.69453663490889	6.16138796835056	4.61512829002545	6.21779329094431	5.61264330983037	4.98859819739606	6.1178847934805	6.65228953049961	6.08973273911056	5.61221736229557	5.75077062461389	5.49507369510236	4.33913781774023	4.98068964106438	5.28551989811298	5.71881342412668	5.97453576961137	6.3897701071064	6.44205849479694	7.87769761690964	6.76127373138533	8.11863146414651	7.13302307624802	6.00974939425113	7.27838793427909	6.70919781912466	5.09155535444556	6.84697862010532	5.6826654065641	6.43944615268128	7.43857976802185	5.60050629881293	6.2277585463343
ENSG00000188157	AGRN	5.31270803380003	6.54804720210885	5.32655804225258	4.66120967491799	5.89555516927169	5.23879341936888	5.18754196918204	5.25577719253437	5.68178971143485	6.10409527560983	5.45362670248165	5.88824660946801	6.01774020334899	5.71625847128496	5.70654470563628	5.67980424035729	5.63949658717623	6.50396866521728	6.03092551593883	6.1448957223867	6.42882997988007	5.50390947181531	5.5488988834761	5.79192614622464	5.48918271998064	5.78196693578849	5.36999928596085	5.62678047136483	5.53136811261873	5.44427958096064	4.5403426255018	4.81011293383392	4.47651491327705	4.52136708179098
ENSG00000131591	C1orf159	3.00489299313316	2.78967729180583	2.37806127614065	1.62874752869714	2.60312847120187	3.19344178630995	2.0932369295103	2.79102960144812	3.49030320962586	3.00989772102955	1.70636785585003	2.81068246400948	2.45440588256031	2.80359871743272	2.82386446837491	2.25875805095323	2.10266985694952	2.71951925504232	2.84654797747045	3.06667658721622	2.44875840236703	2.56830315403585	3.38387062674371	2.78947349305707	3.0757519391492	2.91935879173142	2.27830873359373	2.48893869344447	3.05561836691662	2.97274892335112	2.66817256271806	2.30330306791209	2.11040985427232	2.2415629250613
ENSG00000272141	RP11-465B22.8	4.19269862149932	4.67888093076191	3.08354461653845	-2.21526420914826	2.77119418435696	2.21164084909863	2.46619986081697	1.10658311320691	-1.49008465664234	3.17942538612828	1.65277624049813	3.83883653639752	4.27502345358292	3.96641970434591	3.87952933809876	2.49039568015847	0.439020965520623	0.43140388163048	2.07828762382466	3.59008084679547	0.460254825424972	3.35257749657121	1.82236876540786	2.83396297382648	2.38510417063139	1.89056386806553	2.66940974785112	0.767745621556415	0.645752597174283	2.98837771299171	1.41881038238918	2.56974209400576	0.287009104605819	2.02469637411655
ENSG00000205231	TTLL10-AS1	0.987946612192296	1.83258736913397	2.49462161938619	-1.03982069849543	2.28233326428449	-0.856503523336588	2.04330496410048	-0.810545424105484	0.465858010175555	0.979610394913145	-2.13031771252006	-0.222913703848544	1.29777482233938	3.2922290243779	0.85738625735722	2.42071755849663	-1.80778582097547	-1.51516959747924	-1.4613273939974	1.71454230252136	-0.141374820030737	-0.533787678233953	0.255061856565781	-0.412453459159529	0.807305978867888	-0.0905528724427	1.42882382597486	-1.49255272563265	-1.51492404382169	-0.839999696997996	0.396643944778251	-2.25782533840292	-1.9625514484504	-2.27064361372047
ENSG00000162571	TTLL10	3.84429156345555	4.85161012988015	4.09674551000981	-2.21526420914826	4.16957629777122	1.09815643525787	3.14967287109224	1.09108027356806	0.777769313065154	4.24681530253348	-0.497516184746981	2.51931920234447	3.41500261871996	4.93340494046137	3.92442091493441	3.90622838424384	1.4131296296471	-0.745634929380401	-0.00226727782036207	3.21656658306424	0.916549117004692	0.333010142749941	0.918608459612212	0.772427320449371	0.671663974868981	0.1956953513644	3.01291713810272	-1.49255272563265	-0.62198269206063	0.211160018337228	2.30797153054223	-1.28244570158055	-1.01611738844152	0.214894947293605
ENSG00000186891	TNFRSF18	3.26541202196496	2.8682800937838	4.10603192883364	3.21003616850318	2.98181734886094	4.48448634329017	3.96353997946443	1.66504919466912	3.71979347012962	2.83049848315048	4.36513997594759	3.57957311238033	3.60323606096076	3.88349578437239	3.64642847278511	2.3943645304099	1.85177928938504	3.0188514152837	2.87914423648236	3.23685230725891	2.39713372695152	-1.5310770452474	2.41557130696494	0.509032098524745	1.5353596091064	1.04738242024732	0.345174034192365	1.80486281458278	1.66885253161983	0.710261568279645	3.0878751312723	1.45986947693024	1.32266791349018	1.29655947951143
ENSG00000186827	TNFRSF4	3.28604309499592	2.30526271068589	3.27379026257198	2.66234389241015	3.44479644761336	4.3475219748635	3.53382113370196	3.50951915232075	4.18814689648414	3.11602882616356	3.43477897168698	3.48498569414487	3.49033984613865	3.28168601198587	3.22262218468974	2.37264495110677	1.74512982475743	3.48875041362416	3.60437044554795	2.94817782757193	3.33135241206014	1.30286738146181	2.76731978017222	2.71589329359966	3.26510252475966	4.48592957136532	3.32302490316031	3.01386899600611	5.27204974809506	1.69220172723012	2.32899642731589	1.59605966316442	2.2248829808902	3.49501233431484
ENSG00000078808	SDF4	6.53730872386723	6.45971085428372	6.01936914425056	6.15476220177726	6.59220439835722	6.64630582559004	5.95234052176504	6.55053639382153	6.84829579905253	6.57268740856383	6.28697414471569	6.44502701466944	6.51392923212713	6.25797074905788	6.41617872157255	6.50645065852183	6.30958282079963	6.795668720675	6.69240759807818	6.8305471338449	6.66751028530921	6.74988280640992	6.67875308601635	6.53714308893866	6.73775824419122	6.38952593163275	6.45723573622396	6.3854726404289	6.78830598619367	6.69292249094153	6.69548306722259	6.05385499775606	6.3045016612618	6.07675435873328
ENSG00000176022	B3GALT6	4.22951613358968	4.30007685706122	2.81058073083561	4.11101516715055	4.41380243002141	4.00587858495002	4.08262587220523	4.37232803332905	4.67397800053074	4.90575499659031	3.96524274855285	4.59956718678943	4.35180511141654	4.42523966566526	3.72458606267601	3.93155227040809	4.33922987399486	4.32400784458986	4.57924627646979	4.62275850568213	4.8076014337737	4.54543927540646	4.70215300476908	4.62197490355197	4.16448869895451	5.04570894216163	4.42916819794448	4.1992232623862	4.6019446101967	4.48217453652812	5.35882179470139	4.28542579875322	4.21449391875284	4.6637016572093
ENSG00000160087	UBE2J2	5.0065304564677	4.42023512740001	4.28508735487923	4.01196098566264	4.41410537625885	4.03526286458255	4.38577289462301	4.87546808394785	4.89175266756208	4.63137424292158	4.06984823837126	4.21858008767972	4.66796815684221	4.32976417992474	4.48125069899672	4.48760080665365	4.58048387522326	5.03163563202354	4.97704865386078	4.87761525443402	4.32220634343759	4.77290213209251	4.59887236644992	4.77527085747018	5.15249716948652	4.69147965610019	4.59553255153073	4.70875164181696	4.9785939986087	4.67789844999966	5.21761796028661	4.24605881938317	4.27151720274727	4.5462526394585
ENSG00000162572	SCNN1D	1.85403274496822	2.01676627133514	2.73383655837268	1.37505188415872	2.19334213821788	3.31119951676116	1.8019723585143	2.77748563873173	3.2252463073863	0.826338342933489	2.17590542013766	2.38012524741968	2.02305642174254	1.92978130910943	2.45314105332659	2.71360691305657	2.07777985425239	2.89759726534444	1.93874139634771	3.41558178237756	2.39707752827835	1.30070862026053	3.11399526243662	1.59676994847477	2.8282159548624	2.80325469479739	1.58239287954862	2.72950394991079	0.314369037365037	2.09208752872085	0.258789435447611	2.07799724036843	2.24665266496936	1.36440657322742
ENSG00000131584	ACAP3	4.6400007973242	4.25930995697546	4.57977949331079	3.78019839285341	4.86891285041299	4.87441022533765	3.82208604254345	5.05178926157762	5.3831240607726	4.59756404574984	4.06658179398581	4.17863498292342	4.29285953654059	4.27885573417709	4.25956795016692	4.26395981216008	3.57655434475935	4.72797662682198	4.61906531365381	4.7193502952577	4.15324886358226	4.72003147390869	4.63220003196734	4.83587603070596	4.21875074183735	4.31087663495199	4.50748846705956	4.17557230644594	4.72850004157797	4.30661584770791	4.27858888280486	3.64913796821944	3.57815087103228	3.87317215132926
ENSG00000169972	PUSL1	3.0225461521935	3.77763101689566	2.65998918355492	3.13425264371814	4.11282783419401	3.03002335259454	2.93715342677479	3.60071945719902	3.07973822247839	3.7190067836072	2.29575039765083	2.98731222973687	3.24745043455762	3.60571455498756	3.12752898530699	3.33832850493895	2.55315141134252	3.88564274325051	3.19258929419434	3.59491959380713	3.21361614664706	3.2859482090519	3.66503591237003	3.74321248671464	3.42267636641031	3.08738660620797	3.17692937982904	3.33470069510882	2.9378996678302	3.29714089518428	3.64727085032187	3.18222149593497	2.40170417370798	3.3621458097184
ENSG00000127054	INTS11	5.23814417526404	5.18464494211686	5.02314838707632	3.89691901807842	5.02290400829368	4.9635713137565	4.5213619988798	5.14831448450884	5.30664828683732	5.12430652453386	3.85538658303419	4.82328292299949	5.06841026919153	5.00500609389868	4.87663797180857	4.54082853308783	4.55781959261924	5.03310809623895	4.88635271032701	5.27514959703891	4.7419571218927	4.89899940313637	5.04024055889496	5.13395419656801	5.28591434284932	4.79137024259479	4.86558000750906	5.10871102855637	5.13848521521848	4.91161908774184	5.25141568936166	4.36158434760986	4.35846318517981	4.32481785769286
