"X"	"ID"	"Description"	"setSize"	"enrichmentScore"	"NES"	"pvalue"	"p.adjust"	"qvalue"	"rank"	"leading_edge"
"GO:0140888"	"GO:0140888"	"interferon-mediated signaling pathway"	87	-0.46933694371828	-2.04549726036305	2.67513323108054e-06	0.00015680181970094	0.000127802143506775	3475	"tags=51%, list=24%, signal=39%"
"GO:0003002"	"GO:0003002"	"regionalization"	302	0.366100770222631	1.67533529009477	2.75858648786713e-06	0.000160026455332251	0.000130430399648802	3443	"tags=42%, list=23%, signal=33%"
"GO:0045071"	"GO:0045071"	"negative regulation of viral genome replication"	40	-0.620100303477172	-2.33966833013544	3.08243004704198e-06	0.000176988100762298	0.000144255077496906	2069	"tags=52%, list=14%, signal=45%"
"GO:0002218"	"GO:0002218"	"activation of innate immune response"	302	-0.32080471814069	-1.62805302650936	3.65571884105635e-06	0.000207785150693173	0.00016935637416781	3498	"tags=36%, list=24%, signal=28%"
"GO:0002221"	"GO:0002221"	"pattern recognition receptor signaling pathway"	273	-0.337974110112989	-1.70642780939495	4.05749872848101e-06	0.000228315453451627	0.000186089704842019	3651	"tags=39%, list=25%, signal=30%"
"GO:1903076"	"GO:1903076"	"regulation of protein localization to plasma membrane"	103	-0.439632731272929	-1.95623424821472	4.17423668628397e-06	0.00023255871122495	0.000189548194290143	1774	"tags=32%, list=12%, signal=28%"
"GO:0043302"	"GO:0043302"	"positive regulation of leukocyte degranulation"	20	-0.738409157454279	-2.33831247985942	4.43274226742418e-06	0.000244539615086234	0.000199313292664263	2388	"tags=70%, list=16%, signal=59%"
"GO:0042303"	"GO:0042303"	"molting cycle"	88	0.497904166548608	1.93991857228552	4.64235291520721e-06	0.00025117807551799	0.000204724004570423	2518	"tags=35%, list=17%, signal=29%"
"GO:0042633"	"GO:0042633"	"hair cycle"	88	0.497904166548608	1.93991857228552	4.64235291520721e-06	0.00025117807551799	0.000204724004570423	2518	"tags=35%, list=17%, signal=29%"
"GO:1902652"	"GO:1902652"	"secondary alcohol metabolic process"	121	-0.430176995878231	-1.9695503237312	4.90762223903819e-06	0.000263001812753028	0.000214361003463553	2774	"tags=43%, list=19%, signal=35%"
"GO:2000027"	"GO:2000027"	"regulation of animal organ morphogenesis"	67	0.546288647746393	2.0401685062541	5.21772389561273e-06	0.000276982380760498	0.000225755938561913	1864	"tags=43%, list=13%, signal=38%"
"GO:0071402"	"GO:0071402"	"cellular response to lipoprotein particle stimulus"	35	-0.633576502769915	-2.25786593480684	5.93102978029976e-06	0.000311905650221932	0.000254220332048854	1470	"tags=51%, list=10%, signal=46%"
"GO:1903900"	"GO:1903900"	"regulation of viral life cycle"	101	-0.438293284131621	-1.95447697462752	6.36452430214545e-06	0.000328561268331857	0.000267795580728612	2524	"tags=40%, list=17%, signal=33%"
"GO:0045055"	"GO:0045055"	"regulated exocytosis"	169	-0.381885903584888	-1.83075962728882	6.3577727997678e-06	0.000328561268331857	0.000267795580728612	3136	"tags=44%, list=21%, signal=35%"
"GO:0043542"	"GO:0043542"	"endothelial cell migration"	214	-0.355351750573093	-1.73464587352875	6.55630550397387e-06	0.000335384827916918	0.000273357158668078	2055	"tags=29%, list=14%, signal=26%"
"GO:0042476"	"GO:0042476"	"odontogenesis"	95	0.491703857744394	1.96274198568973	6.82298571739603e-06	0.000339760536564491	0.00027692360289422	1985	"tags=35%, list=14%, signal=30%"
"GO:0048598"	"GO:0048598"	"embryonic morphogenesis"	480	0.332642376723213	1.58114398104705	6.77199734009923e-06	0.000339760536564491	0.00027692360289422	3443	"tags=35%, list=23%, signal=28%"
"GO:0001525"	"GO:0001525"	"angiogenesis"	474	-0.282104723098814	-1.50873989739634	6.81921043562245e-06	0.000339760536564491	0.00027692360289422	1720	"tags=23%, list=12%, signal=21%"
"GO:0002062"	"GO:0002062"	"chondrocyte differentiation"	97	0.489599847332071	1.95694037453022	6.91976404545538e-06	0.000341557125296293	0.000278387921939511	3164	"tags=45%, list=22%, signal=36%"
"GO:0001819"	"GO:0001819"	"positive regulation of cytokine production"	408	-0.2941030486368	-1.54067837577371	6.98064817287454e-06	0.000341566150163174	0.000278395277704479	2720	"tags=31%, list=19%, signal=26%"
"GO:0043588"	"GO:0043588"	"skin development"	210	0.396717030329635	1.74904276250124	7.84297557416482e-06	0.000380451927205392	0.00031008933372628	3427	"tags=38%, list=23%, signal=30%"
"GO:0050792"	"GO:0050792"	"regulation of viral process"	123	-0.413597236945004	-1.88738922581129	8.18814212593087e-06	0.000393800647372761	0.000320969277936849	2524	"tags=37%, list=17%, signal=31%"
